Feature ID,Feature Name,Description,Feature Area,User Story ID,User Story,Acceptance Criteria,Expected Behavior,Entry Points,Dependencies,Edge Cases,User Roles / Permissions,Error / Empty / Loading States,Current Status,Initial Test Evidence,Issue ID,Severity,Reproduction Steps,Expected Result,Actual Result,Root Cause,Screenshots / Evidence,Fix Status,Fix Summary,UX Improvement,Regression Evidence,Retest Result,Notes,Source Files,story_id,feature_area,feature,user_story,expected_behavior,source_files,status,initial_test_evidence,defects_found,fix_summary,retest_evidence,notes
APP-001,Root command center load,"App shell: Root command center load. The root page renders Worksheet Universe inside the Next.js layout with a loading fallback only while Suspense resolves, then shows the command workspace, current worksheet summary, audit badge, New version, and Print actions.",App shell,APP-001,"As a teacher, I can open the app and immediately reach the worksheet command center.","1. Given Root route /, command topbar, command workspace, when the story is exercised, then The root page renders Worksheet Universe inside the Next.js layout with a loading fallback only while Suspense resolves, then shows the command workspace, current worksheet summary, audit badge, New version, and Print actions. 2. The recorded initial and regression evidence for APP-001 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","The root page renders Worksheet Universe inside the Next.js layout with a loading fallback only while Suspense resolves, then shows the command workspace, current worksheet summary, audit badge, New version, and Print actions.","Root route /, command topbar, command workspace",src/app/page.tsx; src/app/layout.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Teacher / worksheet creator; no auth or permission gates in scope.,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Passing,passed: DOM harness rendered command center root and workspace,,,,"The root page renders Worksheet Universe inside the Next.js layout with a loading fallback only while Suspense resolves, then shows the command workspace, current worksheet summary, audit badge, New version, and Print actions.",Matches expected behavior in the recorded test evidence.,,passed: DOM harness rendered command center root and workspace; passed: DOM harness rendered command center root and workspace,No issue found,,,passed: DOM harness rendered command center root and workspace,Passed,No additional notes.,src/app/page.tsx; src/app/layout.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,APP-001,App shell,Root command center load,"As a teacher, I can open the app and immediately reach the worksheet command center.","The root page renders Worksheet Universe inside the Next.js layout with a loading fallback only while Suspense resolves, then shows the command workspace, current worksheet summary, audit badge, New version, and Print actions.",src/app/page.tsx; src/app/layout.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,passed,passed: DOM harness rendered command center root and workspace,,,passed: DOM harness rendered command center root and workspace,No additional notes.
APP-002,Accessible workspace navigation,"App shell: Accessible workspace navigation. A skip link targets #command-workspace, status updates are announced in polite live regions, and the main workspace has a stable id.",App shell,APP-002,"As a keyboard or assistive-tech user, I can skip directly to the worksheet workspace.","1. Given Root route /, command topbar, command workspace, when the story is exercised, then A skip link targets #command-workspace, status updates are announced in polite live regions, and the main workspace has a stable id. 2. The recorded initial and regression evidence for APP-002 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","A skip link targets #command-workspace, status updates are announced in polite live regions, and the main workspace has a stable id.","Root route /, command topbar, command workspace",src/features/worksheet/command-center/WorksheetCommandCenter.tsx,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Teacher / worksheet creator; no auth or permission gates in scope.,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Passing,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.,,,,"A skip link targets #command-workspace, status updates are announced in polite live regions, and the main workspace has a stable id.",Matches expected behavior in the recorded test evidence.,,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.; Post-fix required checks passed where applicable.,No issue found,,,Post-fix required checks passed where applicable. passed: Fresh Chromium QA verified skip link targets #command-workspace.,Passed,No additional notes.,src/features/worksheet/command-center/WorksheetCommandCenter.tsx,APP-002,App shell,Accessible workspace navigation,"As a keyboard or assistive-tech user, I can skip directly to the worksheet workspace.","A skip link targets #command-workspace, status updates are announced in polite live regions, and the main workspace has a stable id.",src/features/worksheet/command-center/WorksheetCommandCenter.tsx,passed,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.,,,Post-fix required checks passed where applicable. passed: Fresh Chromium QA verified skip link targets #command-workspace.,No additional notes.
APP-003,Desktop current draft summary,"App shell: Desktop current draft summary. The desktop control deck includes a Current draft summary with Skill, Format, Grade, and Status cards derived from the active worksheet intent and audit state.",App shell,APP-003,"As a teacher on desktop, I can quickly understand the current worksheet draft before changing settings.","1. Given Root route /, command topbar, command workspace, when the story is exercised, then The desktop control deck includes a Current draft summary with Skill, Format, Grade, and Status cards derived from the active worksheet intent and audit state. 2. The recorded initial and regression evidence for APP-003 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","The desktop control deck includes a Current draft summary with Skill, Format, Grade, and Status cards derived from the active worksheet intent and audit state.","Root route /, command topbar, command workspace",src/features/worksheet/command-center/WorksheetCommandCenter.tsx; tests/frontend/worksheet-console.test.ts,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Teacher / worksheet creator; no auth or permission gates in scope.,"Initial load, Suspense fallback, keyboard skip link, live status announcements, static prerender.",Passing,passed: npm run test verified desktop draft summary source hooks; Real Chromium desktop rendered current draft summary,,,,"The desktop control deck includes a Current draft summary with Skill, Format, Grade, and Status cards derived from the active worksheet intent and audit state.",Matches expected behavior in the recorded test evidence.,,passed: npm run test verified desktop draft summary source hooks; Real Chromium desktop rendered current draft summary; passed: Real Chromium desktop summary showed Skill Format Grade and Status; see output/playwright/feature-story-real-browser-results.json; output/playwright/real-browser-desktop.png,No issue found,,"Added an at-a-glance desktop draft summary for skill, format, grade, and trust status.",passed: Real Chromium desktop summary showed Skill Format Grade and Status; see output/playwright/feature-story-real-browser-results.json,Passed,No additional notes.,src/features/worksheet/command-center/WorksheetCommandCenter.tsx; tests/frontend/worksheet-console.test.ts,APP-003,App shell,Desktop current draft summary,"As a teacher on desktop, I can quickly understand the current worksheet draft before changing settings.","The desktop control deck includes a Current draft summary with Skill, Format, Grade, and Status cards derived from the active worksheet intent and audit state.",src/features/worksheet/command-center/WorksheetCommandCenter.tsx; tests/frontend/worksheet-console.test.ts,passed,passed: npm run test verified desktop draft summary source hooks; Real Chromium desktop rendered current draft summary,,,passed: Real Chromium desktop summary showed Skill Format Grade and Status; see output/playwright/feature-story-real-browser-results.json,No additional notes.
PROMPT-001,Prompt entry and parsed chips,"Teacher intent: Prompt entry and parsed chips. Typing in Teacher intent updates the prompt state and parsed chips without submitting; supported hints include grade, count between 3 and 12, format hints, strand hints, difficulty hints, and exact worksheet titles.",Teacher intent,PROMPT-001,"As a teacher, I can describe the worksheet I want in natural language and see detected grade, strand, format, count, and difficulty cues.","1. Given Teacher intent prompt bar in setup/control deck, when the story is exercised, then Typing in Teacher intent updates the prompt state and parsed chips without submitting; supported hints include grade, count between 3 and 12, format hints, strand hints, difficulty hints, and exact worksheet titles. 2. The recorded initial and regression evidence for PROMPT-001 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Typing in Teacher intent updates the prompt state and parsed chips without submitting; supported hints include grade, count between 3 and 12, format hints, strand hints, difficulty hints, and exact worksheet titles.",Teacher intent prompt bar in setup/control deck,src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/prompt-parser.ts,"Unsupported words, oversized counts, exact title hints, empty prompt edits, prompt-derived settings reset checks.",Teacher / worksheet creator; no auth or permission gates in scope.,"Unsupported words, oversized counts, exact title hints, empty prompt edits, prompt-derived settings reset checks.",Passing,"passed: Prompt chips reflected grade, count clamp, and difficulty",,,,"Typing in Teacher intent updates the prompt state and parsed chips without submitting; supported hints include grade, count between 3 and 12, format hints, strand hints, difficulty hints, and exact worksheet titles.",Matches expected behavior in the recorded test evidence.,,"passed: Prompt chips reflected grade, count clamp, and difficulty; passed: Prompt chips reflected grade, count clamp, and difficulty",No issue found,,,"passed: Prompt chips reflected grade, count clamp, and difficulty",Passed,No additional notes.,src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/prompt-parser.ts,PROMPT-001,Teacher intent,Prompt entry and parsed chips,"As a teacher, I can describe the worksheet I want in natural language and see detected grade, strand, format, count, and difficulty cues.","Typing in Teacher intent updates the prompt state and parsed chips without submitting; supported hints include grade, count between 3 and 12, format hints, strand hints, difficulty hints, and exact worksheet titles.",src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/prompt-parser.ts,passed,"passed: Prompt chips reflected grade, count clamp, and difficulty",,,"passed: Prompt chips reflected grade, count clamp, and difficulty",No additional notes.
PROMPT-002,Generate from prompt,"Teacher intent: Generate from prompt. Generate applies parsed grade, strand, worksheet type, format, item count, and difficulty when present, normalizes the resulting intent, resets answer/check/lock state, updates the URL, and reports that the worksheet regenerated from teacher intent.",Teacher intent,PROMPT-002,"As a teacher, I can submit the prompt to regenerate the worksheet using parsed controls.","1. Given Teacher intent prompt bar in setup/control deck, when the story is exercised, then Generate applies parsed grade, strand, worksheet type, format, item count, and difficulty when present, normalizes the resulting intent, resets answer/check/lock state, updates the URL, and reports that the worksheet regenerated from teacher intent. 2. The recorded initial and regression evidence for PROMPT-002 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Generate applies parsed grade, strand, worksheet type, format, item count, and difficulty when present, normalizes the resulting intent, resets answer/check/lock state, updates the URL, and reports that the worksheet regenerated from teacher intent.",Teacher intent prompt bar in setup/control deck,src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/prompt-parser.ts; src/features/worksheet/command-center/url-state.ts,"Unsupported words, oversized counts, exact title hints, empty prompt edits, prompt-derived settings reset checks.",Teacher / worksheet creator; no auth or permission gates in scope.,"Unsupported words, oversized counts, exact title hints, empty prompt edits, prompt-derived settings reset checks.",Passing,passed: Generate applied parsed prompt to active type and item count,,,,"Generate applies parsed grade, strand, worksheet type, format, item count, and difficulty when present, normalizes the resulting intent, resets answer/check/lock state, updates the URL, and reports that the worksheet regenerated from teacher intent.",Matches expected behavior in the recorded test evidence.,,passed: Generate applied parsed prompt to active type and item count; passed: Generate applied parsed prompt to active type and item count,No issue found,,,passed: Generate applied parsed prompt to active type and item count,Passed,No additional notes.,src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/prompt-parser.ts; src/features/worksheet/command-center/url-state.ts,PROMPT-002,Teacher intent,Generate from prompt,"As a teacher, I can submit the prompt to regenerate the worksheet using parsed controls.","Generate applies parsed grade, strand, worksheet type, format, item count, and difficulty when present, normalizes the resulting intent, resets answer/check/lock state, updates the URL, and reports that the worksheet regenerated from teacher intent.",src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/prompt-parser.ts; src/features/worksheet/command-center/url-state.ts,passed,passed: Generate applied parsed prompt to active type and item count,,,passed: Generate applied parsed prompt to active type and item count,No additional notes.
STATE-001,URL-backed worksheet state,"State and routing: URL-backed worksheet state. Changed prompt, skill query, grade, strand, type, format, count, seed, difficulty, page size, and active panel are encoded as query params only when they differ from defaults; invalid params are safely normalized on load.",State and routing,STATE-001,"As a teacher, I can share or reload a URL and keep the current worksheet setup.","1. Given URL query parameters and browser navigation state, when the story is exercised, then Changed prompt, skill query, grade, strand, type, format, count, seed, difficulty, page size, and active panel are encoded as query params only when they differ from defaults; invalid params are safely normalized on load. 2. The recorded initial and regression evidence for STATE-001 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Changed prompt, skill query, grade, strand, type, format, count, seed, difficulty, page size, and active panel are encoded as query params only when they differ from defaults; invalid params are safely normalized on load.",URL query parameters and browser navigation state,src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/url-state.ts,"Invalid URL values, missing params, unsupported type ids, query-param round trips, URL updates without scroll jumps.",Teacher / worksheet creator; no auth or permission gates in scope.,"Invalid URL values, missing params, unsupported type ids, query-param round trips, URL updates without scroll jumps.",Passing,passed: URL params encode generated active type,,,,"Changed prompt, skill query, grade, strand, type, format, count, seed, difficulty, page size, and active panel are encoded as query params only when they differ from defaults; invalid params are safely normalized on load.",Matches expected behavior in the recorded test evidence.,,passed: URL params encode generated active type; passed: URL params encode generated active type,No issue found,,,passed: URL params encode generated active type,Passed,No additional notes.,src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/url-state.ts,STATE-001,State and routing,URL-backed worksheet state,"As a teacher, I can share or reload a URL and keep the current worksheet setup.","Changed prompt, skill query, grade, strand, type, format, count, seed, difficulty, page size, and active panel are encoded as query params only when they differ from defaults; invalid params are safely normalized on load.",src/features/worksheet/command-center/WorksheetCommandCenter.tsx; src/features/worksheet/command-center/url-state.ts,passed,passed: URL params encode generated active type,,,passed: URL params encode generated active type,No additional notes.
SETUP-001,Preset buttons,"Setup controls: Preset buttons. Each preset changes item count, difficulty, and supported format, resets answer state, and leaves unsupported formats unchanged.",Setup controls,SETUP-001,"As a teacher, I can apply common worksheet presets for bell ringer, homework practice, and diagnostic use.","1. Given Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size, when the story is exercised, then Each preset changes item count, difficulty, and supported format, resets answer state, and leaves unsupported formats unchanged. 2. The recorded initial and regression evidence for SETUP-001 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Each preset changes item count, difficulty, and supported format, resets answer state, and leaves unsupported formats unchanged.","Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size",src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Teacher / worksheet creator; no auth or permission gates in scope.,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Passing,passed: Bell Ringer preset set count to 5 and status updated,,,,"Each preset changes item count, difficulty, and supported format, resets answer state, and leaves unsupported formats unchanged.",Matches expected behavior in the recorded test evidence.,,passed: Bell Ringer preset set count to 5 and status updated; passed: Bell Ringer preset set count to 5 and status updated,No issue found,,,passed: Bell Ringer preset set count to 5 and status updated,Passed,No additional notes.,src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,SETUP-001,Setup controls,Preset buttons,"As a teacher, I can apply common worksheet presets for bell ringer, homework practice, and diagnostic use.","Each preset changes item count, difficulty, and supported format, resets answer state, and leaves unsupported formats unchanged.",src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,passed,passed: Bell Ringer preset set count to 5 and status updated,,,passed: Bell Ringer preset set count to 5 and status updated,No additional notes.
SETUP-002,Skill search,"Setup controls: Skill search. Skill search filters worksheet types by text query and combines with grade, strand, and format filters; the generator list shows up to six matching entries and the visible count.",Setup controls,SETUP-002,"As a teacher, I can search the generator catalog by skill, topic, format, controls, or validation terms.","1. Given Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size, when the story is exercised, then Skill search filters worksheet types by text query and combines with grade, strand, and format filters; the generator list shows up to six matching entries and the visible count. 2. The recorded initial and regression evidence for SETUP-002 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Skill search filters worksheet types by text query and combines with grade, strand, and format filters; the generator list shows up to six matching entries and the visible count.","Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size",src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Teacher / worksheet creator; no auth or permission gates in scope.,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Fixed,"passed: Skill search result count displayed:  Showing 0 of 0 | passed: Incompatible filters show an explicit no-match state instead of unrelated generators (visibleTypes=0; result= Showing 0 of 0; body=Worksheet UniverseMixed Operations Practice / 5 questions / seed 42Teacher intentGrade 2 addition facts fluency exit ticket with 20 problems hardGenerateGrade 2Operations and FluencyQuick Check12 questionsChallengeSetupBuild targetResetBell Ringer5 minutesHomework Practicesteady practiceDiagnosticincreasing demandSkill searchExact gradePre-KK123456789101112Topic strandOperations and FluencyGeneratorSelectedMixed Operations PracticeMix addition, subtraction, multiplication, and division by grade )",ISSUE-SETUP-002,Medium,1. Open the command center. 2. Enter a skill search that conflicts with the selected grade/strand/format. 3. Observe the generator list and result count.,"Skill search filters worksheet types by text query and combines with grade, strand, and format filters; the generator list shows up to six matching entries and the visible count.","Before fix, zero matching filters fell back to the full catalog and exposed unrelated generator choices; after fix, the list remains empty with a no-match message.",WorksheetCommandCenter replaced an empty filtered generator result with the full worksheetTypes catalog.,"passed: Skill search result count displayed:  Showing 0 of 0 | passed: Incompatible filters show an explicit no-match state instead of unrelated generators (visibleTypes=0; result= Showing 0 of 0; body=Worksheet UniverseMixed Operations Practice / 5 questions / seed 42Teacher intentGrade 2 addition facts fluency exit ticket with 20 problems hardGenerateGrade 2Operations and FluencyQuick Check12 questionsChallengeSetupBuild targetResetBell Ringer5 minutesHomework Practicesteady practiceDiagnosticincreasing demandSkill searchExact gradePre-KK123456789101112Topic strandOperations and FluencyGeneratorSelectedMixed Operations PracticeMix addition, subtraction, multiplication, and division by grade ); Post-fix DOM harness passed: incompatible filters now show 0 matches and the no-match state instead of unrelated generators.",Fixed and regression-tested,"Removed the all-catalog fallback from visibleTypes and added an explicit empty generator state: ""No generators match these filters.""",Added an explicit no-match empty state instead of silently showing incompatible choices.,Post-fix DOM harness passed: incompatible filters now show 0 matches and the no-match state instead of unrelated generators.,Passed,No additional notes.,src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,SETUP-002,Setup controls,Skill search,"As a teacher, I can search the generator catalog by skill, topic, format, controls, or validation terms.","Skill search filters worksheet types by text query and combines with grade, strand, and format filters; the generator list shows up to six matching entries and the visible count.",src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/WorksheetCommandCenter.tsx,passed,"passed: Skill search result count displayed:  Showing 0 of 0 | passed: Incompatible filters show an explicit no-match state instead of unrelated generators (visibleTypes=0; result= Showing 0 of 0; body=Worksheet UniverseMixed Operations Practice / 5 questions / seed 42Teacher intentGrade 2 addition facts fluency exit ticket with 20 problems hardGenerateGrade 2Operations and FluencyQuick Check12 questionsChallengeSetupBuild targetResetBell Ringer5 minutesHomework Practicesteady practiceDiagnosticincreasing demandSkill searchExact gradePre-KK123456789101112Topic strandOperations and FluencyGeneratorSelectedMixed Operations PracticeMix addition, subtraction, multiplication, and division by grade )","Initial DOM harness exposed a UX/logistics defect: when filters had zero matching generators, the command center fell back to the full catalog and exposed incompatible generator choices.","Removed the all-catalog fallback from visibleTypes and added an explicit empty generator state: ""No generators match these filters.""",Post-fix DOM harness passed: incompatible filters now show 0 matches and the no-match state instead of unrelated generators.,No additional notes.
SETUP-003,Exact grade filter,"Setup controls: Exact grade filter. Selecting a grade normalizes the active worksheet type to one that supports that grade, filters available generators, resets answers/checks/locks, and updates the URL.",Setup controls,SETUP-003,"As a teacher, I can choose an exact grade from Pre-K through 12.","1. Given Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size, when the story is exercised, then Selecting a grade normalizes the active worksheet type to one that supports that grade, filters available generators, resets answers/checks/locks, and updates the URL. 2. The recorded initial and regression evidence for SETUP-003 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting a grade normalizes the active worksheet type to one that supports that grade, filters available generators, resets answers/checks/locks, and updates the URL.","Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size",src/features/worksheet/catalog.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Teacher / worksheet creator; no auth or permission gates in scope.,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Passing,passed: Grade 4 button updated normalized intent,,,,"Selecting a grade normalizes the active worksheet type to one that supports that grade, filters available generators, resets answers/checks/locks, and updates the URL.",Matches expected behavior in the recorded test evidence.,,passed: Grade 4 button updated normalized intent; passed: Grade 4 button updated normalized intent,No issue found,,,passed: Grade 4 button updated normalized intent,Passed,No additional notes.,src/features/worksheet/catalog.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,SETUP-003,Setup controls,Exact grade filter,"As a teacher, I can choose an exact grade from Pre-K through 12.","Selecting a grade normalizes the active worksheet type to one that supports that grade, filters available generators, resets answers/checks/locks, and updates the URL.",src/features/worksheet/catalog.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,passed,passed: Grade 4 button updated normalized intent,,,passed: Grade 4 button updated normalized intent,No additional notes.
SETUP-004,Topic strand filter,"Setup controls: Topic strand filter. Selecting a strand normalizes the active type to that strand when possible, filters visible generators, resets answer state, and encodes the selection in the URL.",Setup controls,SETUP-004,"As a teacher, I can choose a math strand or all strands.","1. Given Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size, when the story is exercised, then Selecting a strand normalizes the active type to that strand when possible, filters visible generators, resets answer state, and encodes the selection in the URL. 2. The recorded initial and regression evidence for SETUP-004 is Passing or Fixed. 3. Any discovered issue for this story has severity, reproduction, root cause, fix status, and retest evidence recorded in this row.","Selecting a strand normalizes the active type to that strand when possible, filters visible generators, resets answer state, and encodes the selection in the URL.","Setup panel controls: presets, search, grade, strand, generator, format, difficulty, count, seed, page size",src/features/worksheet/catalog.ts; src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Teacher / worksheet creator; no auth or permission gates in scope.,"Zero matching filters, incompatible grade/strand/format combinations, unsupported selected format, min/max item count, seed lower bound.",Passing,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.,,,,"Selecting a strand normalizes the active type to that strand when possible, filters visible generators, resets answer state, and encodes the selection in the URL.",Matches expected behavior in the recorded test evidence.,,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.; Post-fix required checks passed where applicable.,No issue found,,,Post-fix required checks passed where applicable.,Passed,No additional notes.,src/features/worksheet/catalog.ts; src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,SETUP-004,Setup controls,Topic strand filter,"As a teacher, I can choose a math strand or all strands.","Selecting a strand normalizes the active type to that strand when possible, filters visible generators, resets answer state, and encodes the selection in the URL.",src/features/worksheet/catalog.ts; src/features/worksheet/filtering.ts; src/features/worksheet/command-center/setup-panel.tsx; src/features/worksheet/command-center/url-state.ts,passed,Passed: node scripts/agent-validate.mjs; node tests/fixtures/validate-fixtures.mjs; npm run lint; npm run typecheck after build generated Next types; npm run test; npm run test:generators; npm run build.,,,Post-fix required checks passed where applicable.,No additional notes.
